Model_Name,Model_link
"Lenovo IdeaPad 1 15AMN7 AMD Ryzen 5 15.6"" FHD Laptop with DDR5 RAM",https://www.startech.com.bd/lenovo-ideapad-1-15amn7-amd-ryzen-5-fhd-laptop
"Lenovo IdeaPad 1 15AMN7 AMD Ryzen 5 512GB SSD 15.6"" FHD Laptop with DDR5 RAM",https://www.startech.com.bd/lenovo-ideapad-1-15amn7-amd-ryzen-5-laptop
"Lenovo IdeaPad 3 15ALC6 AMD Ryzen 7 5700U 15.6"" FHD Laptop",https://www.startech.com.bd/lenovo-ideapad-3-15alc6-amd-ryzen-7-5700u-laptop
"Lenovo IdeaPad 3 15ALC6 AMD Ryzen 7 5700U 15.6"" FHD Laptop With WiFi 6",https://www.startech.com.bd/lenovo-ideapad-3-15alc6-ryzen-7-5700u-laptop
"Lenovo IdeaPad Gaming 3 15ACH6 Ryzen 5 5600H RTX 3050 4GB Graphics 15.6"" FHD Laptop",https://www.startech.com.bd/lenovo-ideapad-gaming-3-15ach6-ryzen-5-5600h-fhd-laptop
"Lenovo IdeaPad Gaming 3 15ACH6 Ryzen 5 5600H RTX 3050 4GB Graphics 15.6"" FHD Laptop",https://www.startech.com.bd/lenovo-ideapad-gaming-3-15ach6-ryzen-5-5600h-laptop
"Lenovo IdeaPad Gaming 3 15ACH6 Ryzen 5 5600H RTX 3050 4GB Graphics 15.6"" FHD Laptop",https://www.startech.com.bd/lenovo-ideapad-gaming-3-15ach6-ryzen-5-5600h-rtx-3060-laptop
"Lenovo LOQ 15APH8 Ryzen 7 7840HS RTX 3050 6GB Graphics 15.6"" FHD 144Hz Gaming Laptop",https://www.startech.com.bd/lenovo-loq-15aph8-ryzen-7-7840hs-gaming-laptop
"Lenovo LOQ 15APH8 Ryzen 7 7840HS RTX 4050 6GB Graphics 15.6"" FHD 144Hz Gaming Laptop",https://www.startech.com.bd/lenovo-loq-15aph8-ryzen-7-7840hs-rtx-4050-gaming-laptop
"Lenovo Legion 5 Pro 16ARH7H Ryzen 7 6800H RTX 3070 8GB Graphics 16"" 165Hz Gaming Laptop",https://www.startech.com.bd/lenovo-legion-5-pro-16arh7h-ryzen-7-gaming-laptop
"Toshiba Dynabook Satellite Pro C40-G-109 Celeron 5205U 14"" HD Laptop",https://www.startech.com.bd/toshiba-dynabook-satellite-pro-c40-g-109-laptop
"DOEL Freedom A9 AMD A9-9425 14.1"" HD Laptop",https://www.startech.com.bd/doel-freedom-a9-amd-a9-9425-laptop
"Toshiba Dynabook Satellite Pro C40-G-13F Celeron 5205U 14"" HD Laptop",https://www.startech.com.bd/toshiba-dynabook-satellite-pro-c40-g-13f-laptop
"Acer TravelMate TMB 311-31-C3CD Celeron N4020 11.6"" HD Laptop",https://www.startech.com.bd/acer-travelmate-tmb-311-31-c3cd-celeron-n4020-aptop
"Lenovo IdeaPad Slim 3i Intel Celeron N4020 15.6"" HD Laptop",https://www.startech.com.bd/lenovo-ideapad-slim-3i-intel-celeron-n4020-hd-laptop
"Lenovo IdeaPad Slim 3i Intel Celeron N4020 256GB SSD 15.6"" HD Laptop",https://www.startech.com.bd/lenovo-ideapad-slim-3i-celeron-n4020-hd-laptop
"Lenovo IdeaPad D330 10IGL Intel CDC N4020 10.1"" HD Touch Laptop",https://www.startech.com.bd/lenovo-ideapad-d330-cdc-n4020-laptop
"Lenovo IdeaPad Slim 3i 15IGL Intel Celeron N4020 15.6"" HD Laptop",https://www.startech.com.bd/lenovo-ideapad-slim-3i-intel-celeron-n4020-laptop
"Lenovo IdeaPad Slim 3i Intel Celeron N4020 15.6"" FHD Laptop",https://www.startech.com.bd/lenovo-ideapad-slim-3i-intel-celeron-n4020-fhd-laptop
"Asus Vivobook E210MA Celeron N4020 11.6"" HD Laptop",https://www.startech.com.bd/asus-vivobook-e410ma-celeron-n4020-hd-laptop
Asus P1511CMA Intel Celeron N4020 15.6-Inch HD Laptop,https://www.startech.com.bd/asus-p1511cma-intel-celeron-n4020-hd-laptop
"Walton Prelude N40 Pro Celeron N4020 14"" FHD Laptop",https://www.startech.com.bd/walton-prelude-n40-pro-celeron-n4020-laptop
"Asus Vivobook X515MA Celeron N4500 15.6"" HD Laptop",https://www.startech.com.bd/asus-vivobook-x515ma-celeron-n4500-laptop
"Asus Vivobook X515KA Celeron N4500 15.6"" FHD Laptop",https://www.startech.com.bd/asus-vivobook-x515ka-celeron-n4500-fhd-laptop
"Walton Prelude N41 Pro Celeron N4120 14"" FHD Laptop",https://www.startech.com.bd/walton-prelude-n41-pro-celeron-n4120-laptop
